cn,ccode,cn_2,date2,pct_ca,ca,pct_ca_sa_2,date3
142,NOR,Norway,10/1/1985,2.49700155109167,3.39156531517394,2.49700155109167,1985q4
142,NOR,Norway,1/1/1986,-1.26531692221761,-1.9983538377136,-1.26531692221761,1986q1
142,NOR,Norway,4/1/1986,-11.0300689935684,-11.5578132996417,-11.0300689935684,1986q2
142,NOR,Norway,7/1/1986,-7.66008347272873,-8.376976108857519,-7.66008347272873,1986q3
142,NOR,Norway,10/1/1986,-4.00017239153385,-2.21418974902351,-4.00017239153385,1986q4
142,NOR,Norway,1/1/1987,-1.46367670968175,-3.90983276133269,-1.46367670968175,1987q1
142,NOR,Norway,4/1/1987,-4.21101376414299,-3.63235195813947,-4.21101376414299,1987q2
142,NOR,Norway,7/1/1987,-6.4145065844059,-6.7440293719968,-6.4145065844059,1987q3
142,NOR,Norway,10/1/1987,-5.10315969586372,-4.16416252028356,-5.10315969586372,1987q4
142,NOR,Norway,1/1/1988,-2.36340444535017,-2.95532706941829,-2.36340444535017,1988q1
142,NOR,Norway,4/1/1988,-5.23939058184624,-4.8082572303802,-5.23939058184624,1988q2
142,NOR,Norway,7/1/1988,-3.43740917742252,-4.7479460058174,-3.43740917742252,1988q3
142,NOR,Norway,10/1/1988,-4.74684908986092,-3.28373010511704,-4.74684908986092,1988q4
142,NOR,Norway,1/1/1989,.686686160042882,.717647151729226,.686686160042882,1989q1
142,NOR,Norway,4/1/1989,1.16082970052958,.441642262664192,1.16082970052958,1989q2
142,NOR,Norway,7/1/1989,1.66757442057133,-.0006330215790958,1.66757442057133,1989q3
142,NOR,Norway,10/1/1989,-2.33950894325972,-1.48571785318218,-2.33950894325972,1989q4
142,NOR,Norway,1/1/1990,1.56251471489668,-.259213285936318,1.56251471489668,1990q1
142,NOR,Norway,4/1/1990,-1.09398076310754,-.446391218580869,-1.09398076310754,1990q2
142,NOR,Norway,7/1/1990,5.39555251598358,3.39632356155201,5.39555251598358,1990q3
142,NOR,Norway,10/1/1990,6.53354376554489,6.71984142392416,6.53354376554489,1990q4
142,NOR,Norway,1/1/1991,3.98420095443726,3.66914309350601,3.98420095443726,1991q1
142,NOR,Norway,4/1/1991,5.77907487750053,4.28475792166563,5.77907487750053,1991q2
142,NOR,Norway,7/1/1991,6.12176805734634,4.17901624552237,6.12176805734634,1991q3
142,NOR,Norway,10/1/1991,1.46559458225965,2.25625946464953,1.46559458225965,1991q4
142,NOR,Norway,1/1/1992,1.94552689790726,2.12701110776521,1.94552689790726,1992q1
142,NOR,Norway,4/1/1992,2.20828503370285,3.13122073929259,2.20828503370285,1992q2
142,NOR,Norway,7/1/1992,6.02852813899517,4.84197062582309,6.02852813899517,1992q3
142,NOR,Norway,10/1/1992,3.7940751761198,3.54004726192846,3.7940751761198,1992q4
142,NOR,Norway,1/1/1993,2.0091749727726,2.18560314349044,2.0091749727726,1993q1
142,NOR,Norway,4/1/1993,5.02674020826817,5.85502647738227,5.02674020826817,1993q2
142,NOR,Norway,7/1/1993,4.79589700698853,2.85961416641027,4.79589700698853,1993q3
142,NOR,Norway,10/1/1993,1.02721909061074,.868257570020898,1.02721909061074,1993q4
142,NOR,Norway,1/1/1994,2.97726448625326,2.65274168882584,2.97726448625326,1994q1
142,NOR,Norway,4/1/1994,2.17520706355572,2.77291094835484,2.17520706355572,1994q2
142,NOR,Norway,7/1/1994,3.4757923334837,2.5490204071733,3.4757923334837,1994q3
142,NOR,Norway,10/1/1994,3.1984768807888,3.7471081949094,3.1984768807888,1994q4
142,NOR,Norway,1/1/1995,4.25269529223442,3.55104156784,4.25269529223442,1995q1
142,NOR,Norway,4/1/1995,2.10733953863382,3.0009069673392,2.10733953863382,1995q2
142,NOR,Norway,7/1/1995,4.88194264471531,3.94885525777106,4.88194264471531,1995q3
142,NOR,Norway,10/1/1995,2.67334543168545,3.48710382372918,2.67334543168545,1995q4
142,NOR,Norway,1/1/1996,8.09686556458473,6.92279880160148,8.09686556458473,1996q1
142,NOR,Norway,4/1/1996,6.61497041583061,6.66436583989883,6.61497041583061,1996q2
142,NOR,Norway,7/1/1996,7.29463770985603,6.43971805084916,7.29463770985603,1996q3
142,NOR,Norway,10/1/1996,5.56778721511364,6.89275723219795,5.56778721511364,1996q4
142,NOR,Norway,1/1/1997,8.94050374627113,8.45731897379075,8.94050374627113,1997q1
142,NOR,Norway,4/1/1997,5.678965523839,5.45756065390383,5.678965523839,1997q2
142,NOR,Norway,7/1/1997,6.29454031586647,5.87598089454222,6.29454031586647,1997q3
142,NOR,Norway,10/1/1997,4.54401411116123,4.94845116412388,4.54401411116123,1997q4
142,NOR,Norway,1/1/1998,4.22526225447655,2.21749996807358,4.22526225447655,1998q1
142,NOR,Norway,4/1/1998,1.02876890450716,1.03636767751105,1.02876890450716,1998q2
142,NOR,Norway,7/1/1998,-1.08774527907372,-1.75477551616622,-1.08774527907372,1998q3
142,NOR,Norway,10/1/1998,-3.83500680327415,-2.65221987122705,-3.83500680327415,1998q4
142,NOR,Norway,1/1/1999,1.32333477959037,.778496665933693,1.32333477959037,1999q1
142,NOR,Norway,4/1/1999,3.35406400263309,4.03609821736545,3.35406400263309,1999q2
142,NOR,Norway,7/1/1999,7.30985626578331,6.72285989874835,7.30985626578331,1999q3
142,NOR,Norway,10/1/1999,9.639962762594219,9.67427052006038,9.639962762594219,1999q4
142,NOR,Norway,1/1/2000,12.5838190317154,11.3777387541916,12.5838190317154,2000q1
142,NOR,Norway,4/1/2000,10.7810750603676,12.0532621761206,10.7810750603676,2000q2
142,NOR,Norway,7/1/2000,17.3013344407082,16.4250890706941,17.3013344407082,2000q3
142,NOR,Norway,10/1/2000,18.3877214789391,18.6617164299726,18.3877214789391,2000q4
142,NOR,Norway,1/1/2001,16.5538161993027,15.3032994328932,16.5538161993027,2001q1
142,NOR,Norway,4/1/2001,14.9554520845413,15.4815424413666,14.9554520845413,2001q2
142,NOR,Norway,7/1/2001,17.6084831357002,17.3129604798484,17.6084831357002,2001q3
142,NOR,Norway,10/1/2001,15.9149661660194,15.0946395540326,15.9149661660194,2001q4
142,NOR,Norway,1/1/2002,12.430427223444,12.5131382439662,12.430427223444,2002q1
142,NOR,Norway,4/1/2002,11.7465257644653,13.3452888552263,11.7465257644653,2002q2
142,NOR,Norway,7/1/2002,11.3604322075844,11.3804755272188,11.3604322075844,2002q3
142,NOR,Norway,10/1/2002,12.5686720013618,11.9513496189583,12.5686720013618,2002q4
142,NOR,Norway,1/1/2003,12.8909274935722,11.8636483902248,12.8909274935722,2003q1
142,NOR,Norway,4/1/2003,12.0406650006771,12.2241967070425,12.0406650006771,2003q2
142,NOR,Norway,7/1/2003,11.5766242146492,11.7944986546897,11.5766242146492,2003q3
